index,token,Structures,Landings,Colliders,Reward,Hazard
163,139,---------S-E-X,17,17,0,4
177,140,----------EXXX,4,7,0,8
181,141,-------EXXXXXX,32,63,0,64
193,142,--E---------XX,2,3,0,2048
17,143,-------X--X---,72,72,0,0
26,144,--------X---oX,33,33,2,0
32,145,------o-----X-,2,2,128,0
38,146,------o--X----,16,16,128,0
41,147,---------X-X--,20,20,0,0
42,148,-------X---X--,68,68,0,0
44,149,---?---X---X--,1092,1092,1024,0
46,150,------EX---X--,68,68,0,128
47,151,-------X-o-X--,68,68,16,0
48,152,---------o-X--,4,4,16,0
49,153,---------oEX--,4,4,16,8
50,154,---X-------X--,1028,1028,0,0
51,155,--oX----------,1024,1024,2048,0
53,156,---X----------,1024,1024,0,0
60,157,-------X-----X,65,65,0,0
61,158,------oX-----X,65,65,128,0
72,159,----X--------X,513,513,0,0
73,160,---oX--------X,513,513,1024,0
76,161,-----oX-------,128,128,256,0
79,162,------X----X--,132,132,0,0
91,163,-----X--------,256,256,0,0
100,164,----oX--------,256,256,512,0
102,165,-----X-----X--,260,260,0,0
103,166,-------X--oX--,68,68,8,0
104,167,------oX---X--,68,68,128,0
109,168,------E-------,0,0,0,128
117,169,---------EX---,8,8,0,16
125,170,------X---X---,136,136,0,0
34,171,---------o---X,1,1,16,0
35,172,--------o----X,1,1,32,0
142,173,-----Q---S----,272,272,256,0
20,174,--SSSS--------,2048,3840,0,0
21,175,--SSSS-------X,2049,3841,0,0
22,176,--SSSS---SSS-X,2065,3869,0,0
27,177,--SSSS---S--oX,2065,3857,2,0
28,178,--SSSS--??--oX,2081,3889,50,0
29,179,--SSSS---?--oX,2065,3857,18,0
30,180,--SSSS---SSSSX,2064,3871,0,0
42,181,--SSSS--ESSSSX,2064,3871,0,32
50,182,--S--Q---Q---X,2321,2321,272,0
64,183,-----S-S-----X,321,321,0,0
65,184,-----S--S----X,289,289,0,0
76,185,--S------S---X,2065,2065,0,0
78,186,--S---<[[[[[[X,2176,2303,0,0
79,187,--S--E>]]]]]]X,2176,2303,0,256
87,188,--S-----S----X,2081,2081,0,0
105,189,--S-------XXX-,2056,2062,0,0
113,190,----------XXX-,8,14,0,0
119,191,--S--S---S---X,2321,2321,0,0
120,192,--S-??---S---X,2577,2833,768,0
121,193,--S--?---S---X,2321,2321,256,0
156,194,-X---------X--,4100,4100,0,0
160,195,--SSSSSS-----X,2049,4033,0,0
161,196,--SSSS--??---X,2081,3889,48,0
162,197,--SSSS--o?---X,2065,3857,48,0
163,198,--SSSS--oS---X,2065,3857,32,0
168,199,--SSSS--oS--EX,2065,3857,32,2
173,200,--SSSS------XX,2050,3843,0,0
174,201,--SSSS-----XXX,2052,3847,0,0
175,202,--SSSS----XXXX,2056,3855,0,0
85,203,-----S---X---X,273,273,0,0
87,204,-----S---X----,272,272,0,0
106,205,-----------BbX,4,7,0,4
151,206,-------<[X---X,65,113,0,0
152,207,------E>]X---X,65,113,0,128
184,208,-----XXXXXX--X,257,505,0,0
24,209,-----------XX-,4,6,0,0
28,210,---------XX---,16,24,0,0
29,211,-----S---XX---,272,280,0,0
31,212,---------X---X,17,17,0,0
37,213,-------o-----X,1,1,64,0
69,214,-------o------,0,0,64,0
77,215,-----------X-X,5,5,0,0
78,216,----------XX-X,9,13,0,0
83,217,------SXSXXXXX,128,255,0,0
84,218,------S------X,129,129,0,0
85,219,------S---S--X,137,137,0,0
86,220,----------S---,8,8,0,0
120,221,--------SXXXX-,32,62,0,0
121,222,--------S-----,32,32,0,0
123,223,--------S---S-,34,34,0,0
124,224,--------Q---S-,34,34,32,0
125,225,------------S-,2,2,0,0
127,226,------------SX,2,3,0,0
142,227,-------SXXXXX-,64,126,0,0
143,228,-------S------,64,64,0,0
144,229,---------S----,16,16,0,0
145,230,---------S-S--,20,20,0,0
146,231,-------o---S--,4,4,64,0
147,232,-----------S--,4,4,0,0
167,233,--------XXXXX-,32,62,0,0
20,234,---o-S------EX,257,257,1024,2
27,235,------<[X----X,129,225,0,0
28,236,-----E>]X----X,129,225,0,256
29,237,--------X----X,33,33,0,0
62,238,-----S-----<[X,260,263,0,0
63,239,-----S----E>]X,260,263,0,8
82,240,-------<[[[[[X,64,127,0,0
83,241,------E>]]]]]X,64,127,0,128
106,242,------<[[X---X,129,241,0,0
107,243,-----E>]]X---X,129,241,0,256
162,244,------<[[X--EX,129,241,0,2
197,245,-----E--E>]]]X,16,31,0,288
23,246,--o--X--------,256,256,2048,0
38,247,----o--------X,1,1,512,0
41,248,----o--X-----X,65,65,512,0
42,249,----o--X------,64,64,512,0
50,250,---Q----------,1024,1024,1024,0
80,251,--oX------X---,1032,1032,2048,0
83,252,---X------X---,1032,1032,0,0
85,253,--------X-X---,40,40,0,0
97,254,--------o-----,0,0,32,0
130,255,-----X---X---X,273,273,0,0
140,256,------Xo------,128,128,64,0
149,257,---o----------,0,0,1024,0
21,258,-----S----BbBX,264,271,0,10
32,259,---------Q-E-X,17,17,16,4
39,260,----------Bb-X,9,13,0,8
49,261,----------BbBX,8,15,0,10
57,262,-------BbX---X,65,113,0,64
77,263,-----S--ES---X,273,273,0,32
80,264,----ES---S---X,273,273,0,512
144,265,--?----------X,2049,2049,2048,0
146,266,------S-----XX,130,131,0,0
147,267,------S----XXX,132,135,0,0
102,268,----o-------EX,1,1,512,2
153,269,-----S----E--X,257,257,0,8
164,270,----------E---,0,0,0,8
